,mid,pid,content,trigger_preds_tag,verify_preds_tag,cid
544471296315498496,544471296315498496,544469470568148992,"@ABC DON'T CLICK Don't click on it,  the article doesn't say what the demands are.  DON'T CLICK.",0,1,544469470568148992
544471407368101888,544471407368101888,544469470568148992,@ABC Very bad situation if it is ISIS. Hope they make it out safe,0,1,544469470568148992
544472643823734784,544472643823734784,544469470568148992,@ABC terrorist is using the cafe's free WiFi too #Damn @msnbc @morningjoe,0,1,544469470568148992
544478068341874688,544478068341874688,544469470568148992,@ABC  and ur surprised people the sleeper cells are  probably in every country . #ISIS  #Hamas should be wipe from the face of the earth,0,1,544469470568148992
544479267405299712,544479267405299712,544469470568148992,@ABC  #PrayForSydney hope it dosent get bad and everyone will be happy one's again #PrayForSydney,0,1,544469470568148992
544479337240887296,544479337240887296,544469470568148992,@ABC Ban the cult,0,1,544469470568148992
544480587365351424,544480587365351424,544469470568148992,@ABC #PrayForSydney -Fransien Muskitta she wants to # but she dosent have a twitter,0,1,544469470568148992
544503194747822080,544503194747822080,544469470568148992,"@ABC   Hoping for a peaceful ending, Credit to the Sydney Police for their restraint in their handling of the situation.  #sydneysiege",0,1,544469470568148992
544592522333655040,544592522333655040,544469470568148992,@ABC Hands up - don't shoot #ISIS,0,1,544469470568148992
544867201031741440,544867201031741440,544592522333655040,@MaryannKay @ABC sad to read this!!!,0,1,544469470568148992
544868411491487744,544868411491487744,544867201031741440,@katornot @ABC the police oing their jobs in Aussie - just like #NYC #NYPD and @stltoday,0,1,544469470568148992
544603212876378112,544603212876378112,544469470568148992,@ABC Great work police. ...,0,1,544469470568148992
544663779553071104,544663779553071104,544469470568148992,@ABC u,0,1,544469470568148992
544665169667047425,544665169667047425,544469470568148992,@ABC hope obama and hillery wakes up!,0,1,544469470568148992
544687905931657216,544687905931657216,544469470568148992,@ABC thank goodness for the 2nd amendment and open and concealed carry. if this was in my state the siege would had last oh about 30 seconds,0,1,544469470568148992
544893655828267008,544893655828267008,544469470568148992,"@ABC Why is he a ""gunman"" and not a ""TERRORIST"".  Call him what he is.  He's a fucking Islamic terrorist!!",0,1,544469470568148992
544932030564556800,544932030564556800,544469470568148992,@ABC kill the gunman,0,1,544469470568148992
544297846233890816,544297846233890816,544297696308518912,@FoxNews And Huck is on,0,2,544297696308518912
544298113696292864,544298113696292864,544297696308518912,@FoxNews get off of Huckabee! Bring in @ShepNewsTeam,0,2,544297696308518912
544298946441392128,544298946441392128,544298113696292864,@rwhiting @FoxNews @ShepNewsTeam Go to BITV THEIR LIVE IN SYDNEY!!,0,2,544297696308518912
544660449669967872,544660449669967872,544298113696292864,@rwhiting @FoxNews @ShepNewsTeam,0,2,544297696308518912
544298252078559232,544298252078559232,544297696308518912,@FoxNews child it was so cold in san fran when they beamed in their holograms called it off too cold they said and back they went went went,0,2,544297696308518912
