,event,mid,time,content,$new_sentiment_pre,content4dl
552821460885323776,charliehebdo,552821460885323776,1420637881.0,@BBCWorld very shocking,1,@USER very shocking
552810071328296960,charliehebdo,552810071328296960,1420635166.0,"“@mathieuvonrohr: Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/m6wtcKRbZC” @cspanwj",1,"@USER Video showing CharlieHebdo attack ""Allahu akbar"" shouts HTTPURL @USER"
553144813185269762,charliehebdo,553144813185269762,1420714975.0,@Telegraph It is quite unsettling to see how ordinary the face of hatred can look like.,0,@USER It is quite unsettling to see how ordinary the face of hatred can look like
553486913970397186,charliehebdo,553486913970397186,1420796538.0,"@FoxNews 
Why did they even exist? Everyone seem to know all about their dirt!",0,"@USER 
Why did they even exist Everyone seem to know all about their dirt!"
553146485684973568,charliehebdo,553146485684973568,1420715373.0,@zeusmarko @BBCBreaking I respect all ppl in every religion but the conspiracy to discredit Islam is obvious now.,1,@USER @USER I respect all ppl in every religion but the conspiracy to discredit Islam is obvious now
552833028201144320,charliehebdo,552833028201144320,1420640639.0,URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV,1,URGENTgunmen involved in deadly attack on CharlieHebdo  French interior minister HTTPURL Paris HTTPURL
552813045484105728,charliehebdo,552813045484105728,1420635875.0,“@Independent: #CharlieHebdo famous cartoonists Charb and Cabu shot dead http://t.co/M6Njau4dd8 http://t.co/TP6zkvAcdr” Dreadful news,0,@USER CharlieHebdo famous cartoonists Charb and Cabu shot dead HTTPURL HTTPURL Dreadful news
552797760601485312,charliehebdo,552797760601485312,1420632231.0,@AFPphoto @LiberalMediaSux @MartinBureau1 Where is the outrage from islamists?,1,@USER @USER @USER Where is the outrage from islamists
552807298486530048,charliehebdo,552807298486530048,1420634505.0,@ryanseanie we'll reap what we sow.,1,@USER well reap what we sow
553360810341584896,charliehebdo,553360810341584896,1420766472.0,"@AyeAyeAyeCapn If this weren't so serious, it'd be comical... http://t.co/qXCbaA60bs",0,@USER If this werent so serious itd be comical HTTPURL
553532070752841730,charliehebdo,553532070752841730,1420807304.0,@nytimes Please hurry. 😪,0,@USER Please hurry sleepyface
553577254060830721,charliehebdo,553577254060830721,1420818076.0,@FoxNews That's what they do! They're cold blooded killers and neither know nor care for human life. Not even their own.,0,@USER Thats what they do! Theyre cold blooded killers and neither know nor care for human life Not even their own
552787045459185664,charliehebdo,552787045459185664,1420629676.0,@BreakingNews @AP  En français et plus à jour :http://t.co/4kzOBm8vgZ,1,@USER @USER  En français et plus à jour HTTPURL
552811591683821568,charliehebdo,552811591683821568,1420635528.0,@RT_com @SpringboroTea http://t.co/5NjSg1pBSi,1,@USER @USER HTTPURL
553205590273449986,charliehebdo,553205590273449986,1420729465.0,"@moneyries blogger, too early to be mean to the internets...be happy!",1,@USER blogger too early to be mean to the internetsbe happy!
553563668169125889,charliehebdo,553563668169125889,1420814837.0,French media say Paris hostage-taker demanding freedom of #CharlieHebdo suspects #ParisAttacks http://t.co/ATmBpjwW3b http://t.co/MI7DYRuBDP,1,French media say Paris hostagetaker demanding freedom of CharlieHebdo suspects ParisAttacks HTTPURL HTTPURL
553544552238546944,charliehebdo,553544552238546944,1420810280.0,@FoxNews kosher grocery store,1,@USER kosher grocery store
553204461884428288,charliehebdo,553204461884428288,1420729196.0,@cnnbrk http://t.co/FMKPwdsp63,1,@USER HTTPURL
553118792843149312,charliehebdo,553118792843149312,1420708771.0,@smtayyab2003 @BBCBreaking It's an Israeli terrorist assault on freedom of expression world wide as much as the Paris criminal slaughter was,1,@USER @USER Its an Israeli terrorist assault on freedom of expression world wide as much as the Paris criminal slaughter was
553186473931853825,charliehebdo,553186473931853825,1420724907.0,“@mashable: The artist behind this iconic #CharlieHebdo pencil tribute http://t.co/KhLwsKOJlx http://t.co/AmywDFOSk9”.,1,@USER The artist behind this iconic CharlieHebdo pencil tribute HTTPURL HTTPURL
553148502906523648,charliehebdo,553148502906523648,1420715854.0,@deancore @Artekkers Some saying he only did so to prove he was at college. Be interesting to see...,0,@USER @USER Some saying he only did so to prove he was at college Be interesting to see
552805596240830464,charliehebdo,552805596240830464,1420634099.0,@RachelDonadio @nytimes,1,@USER @USER
552791473130049536,charliehebdo,552791473130049536,1420630732.0,@BBCBreaking @mlleginette https://t.co/6MTcIsr5Gw,1,@USER @USER HTTPURL
553486729219686400,charliehebdo,553486729219686400,1420796494.0,@AP BREAKING: French police: Suspects in newspaper attack appear to have taken a hostage northeast of Paris | WTF is going on world?,1,@USER BREAKING French police Suspects in newspaper attack appear to have taken a hostage northeast of Paris  WTF is going on world
553557029701550080,charliehebdo,553557029701550080,1420813255.0,"@MadonnaRebel @SkyNews no news about what he did or is doing though 
It's all very vague atm",0,"@USER @USER no news about what he did or is doing though 
Its all very vague atm"
553532039073648640,charliehebdo,553532039073648640,1420807296.0,@nytimes sounds like one of those ISIS groups,0,@USER sounds like one of those ISIS groups
552785367972450304,charliehebdo,552785367972450304,1420629276.0,"French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo",1,"French radio @USER says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" Charliehebdo"
552829661290700800,charliehebdo,552829661290700800,1420639836.0,@technicalswitch @SophiaLippylips @beckyt141 @MrTonyMan @TRobinsonNewEra Never done a line before?,1,@USER @USER @USER @USER @USER Never done a line before
552852606234947584,charliehebdo,552852606234947584,1420645307.0,@norton_anorton @Slate the outbidding scenario as talked about by @MiaMBloom @selectedwisdom @intelwire,1,@USER @USER the outbidding scenario as talked about by @USER @USER @USER
552792852645048321,charliehebdo,552792852645048321,1420631061.0,@AFPphoto @roncamma,1,@USER @USER
553599498153644032,charliehebdo,553599498153644032,1420823380.0,@CedricMbia @tonybaloni1964 @BBCBreaking hi glad to see you did not jump in the circus whit all the others,1,@USER @USER @USER hi glad to see you did not jump in the circus whit all the others
553584236373225472,charliehebdo,553584236373225472,1420819741.0,@pzfeed I thought they wanted to die as martyr? lmao noobs,0,@USER I thought they wanted to die as martyr lmao noobs
553587713535123456,charliehebdo,553587713535123456,1420820570.0,“@SkyNewsBreak: AFP: suspected #CharlieHebdo gunmen have been killed”,0,@USER AFP suspected CharlieHebdo gunmen have been killed
552820204221120512,charliehebdo,552820204221120512,1420637582.0,"@pessoptimistic @AviMayer @marcburleigh Yup. That is what happens when you start multiple wars with a country and lose land
Don't start wars",0,"@USER @USER @USER Yup That is what happens when you start multiple wars with a country and lose land
Dont start wars"
553124937008160768,charliehebdo,553124937008160768,1420710236.0,@WSJ #CharlieHebdo #the two look like radicals,1,@USER CharlieHebdo the two look like radicals
553212962044149761,charliehebdo,553212962044149761,1420731223.0,"Paris says highest alert level extended north to region where attack suspects spotted - @AFP, @MelissaBellF24 https://t.co/pj8kecnVt7",1,Paris says highest alert level extended north to region where attack suspects spotted  @USER @USER HTTPURL
553235062750052353,charliehebdo,553235062750052353,1420736492.0,So sad!They have no soul.Even killing other Muslims.Hopefully makes more fearful Muslims speak out against radical Islamists. @CronkiteSays,0,So sad!They have no soulEven killing other MuslimsHopefully makes more fearful Muslims speak out against radical Islamists @USER
553587885207986176,charliehebdo,553587885207986176,1420820611.0,@euronews oh thank god! What an awesome attack by the police!!! Hopefully these things won't happen again. #franceattack,1,@USER oh thank god! What an awesome attack by the police!!! Hopefully these things wont happen again franceattack
553508114436476929,charliehebdo,553508114436476929,1420801592.0,@mrbillywhite @BBCBreaking Better than Tesco's though?,1,@USER @USER Better than Tescos though
552799660625383424,charliehebdo,552799660625383424,1420632684.0,"@AP Yep, and here in the US ""they"" would be calling it workplace violence despite 2+2 equaling 4.",1,"@USER Yep and here in the US ""they"" would be calling it workplace violence despite 22 equaling 4"
553535523336503299,charliehebdo,553535523336503299,1420808127.0,MANO RT @AFP: #BREAKING At least five hostages in Paris kosher supermarket: source,1,MANO RT @USER BREAKING At least five hostages in Paris kosher supermarket source
553647101847293953,charliehebdo,553647101847293953,1420834730.0,"@Irenekenny4 You've lost the plot, I have no idea what point you are failing to make.  PS no need to shout. OK.",0,@USER Youve lost the plot I have no idea what point you are failing to make  PS no need to shout OK
553177978109452290,charliehebdo,553177978109452290,1420722882.0,@cnnbrk What punishment is fit for such an atrocious act?,0,@USER What punishment is fit for such an atrocious act
553587303172833280,charliehebdo,553587303172833280,1420820472.0,Police taking people out of #Paris grocery where hostages were being held. http://t.co/7Bxdhozq4H,1,Police taking people out of Paris grocery where hostages were being held HTTPURL
552813563283509248,charliehebdo,552813563283509248,1420635998.0,@WSJ @HeyTammyBruce The Liberal leftist should be feeling as good as DeBlasio today over this.,1,@USER @USER The Liberal leftist should be feeling as good as DeBlasio today over this
552820881744220161,charliehebdo,552820881744220161,1420637743.0,"@kimwillsher1 Do you think that was just a coincidence, or did someone know that? Too soon I know, but it jumped out at me.",1,@USER Do you think that was just a coincidence or did someone know that Too soon I know but it jumped out at me
553535122742738944,charliehebdo,553535122742738944,1420808032.0,"@thebugler69 You are absolutely right of course, finally we begin to glean the significance of the kosher supermarket as it is reported now",1,@USER You are absolutely right of course finally we begin to glean the significance of the kosher supermarket as it is reported now
553599279097733120,charliehebdo,553599279097733120,1420823328.0,@JaySnayk @DAVIDMDRAIMAN @cnni YOU LEFT OUT INTERNATIONAL!,1,@USER @USER @USER YOU LEFT OUT INTERNATIONAL!
